# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;
2.600000000000000E+09;-5.207188692306004E+00;-1.380340618039224E+01;1.629219492064495E+01;3.639220861222896E+01;1.629219492064495E+01;3.639220861222896E+01;-6.523255335519048E+00;-1.034953206401085E+02;5.875381254601205E+01;5.590136416300765E+00;
2.601000000000000E+09;-5.228776733121424E+00;-1.412136343746799E+01;1.630926151030547E+01;3.544394190827310E+01;1.630926151030547E+01;3.544394190827310E+01;-6.533727249309571E+00;-1.054248564713336E+02;5.829970060370935E+01;6.637685966987369E+00;
2.602000000000000E+09;-5.238332637319024E+00;-1.438952222944332E+01;1.632399646518074E+01;3.435504007412250E+01;1.632399646518074E+01;3.435504007412250E+01;-6.540497479169126E+00;-1.072343636986391E+02;5.834211516455704E+01;5.470699894186045E+00;
2.603000000000000E+09;-5.248011216246081E+00;-1.462450119399851E+01;1.633628327517431E+01;3.317314285739024E+01;1.633628327517431E+01;3.317314285739024E+01;-6.525216487317261E+00;-1.090607427832386E+02;5.843676251362464E+01;5.518854381021189E+00;
2.604000000000000E+09;-5.264820814681378E+00;-1.482255732511767E+01;1.635001085005099E+01;3.199725182986771E+01;1.635001085005099E+01;3.199725182986771E+01;-6.525736731609905E+00;-1.108819910683568E+02;5.828202319974036E+01;5.410608723094036E+00;
2.605000000000000E+09;-5.281336404237345E+00;-1.505261716018292E+01;1.635986303561505E+01;3.075930384329344E+01;1.635986303561505E+01;3.075930384329344E+01;-6.518182188144356E+00;-1.127118367984171E+02;5.852947654459741E+01;5.218525276507603E+00;
2.606000000000000E+09;-5.289075413734827E+00;-1.529839666852914E+01;1.636882172138747E+01;2.953751637805836E+01;1.636882172138747E+01;2.953751637805836E+01;-6.512751651630280E+00;-1.145566322396663E+02;5.864221660032482E+01;3.859098787865723E+00;
2.607000000000000E+09;-5.308611075530740E+00;-1.548709094995264E+01;1.637854604711463E+01;2.830506664218036E+01;1.637854604711463E+01;2.830506664218036E+01;-6.507305605712205E+00;-1.162996837803318E+02;5.856255147473292E+01;5.545083365164797E+00;
2.608000000000000E+09;-5.327601934865754E+00;-1.568396631492042E+01;1.639031054168662E+01;2.709671127432923E+01;1.639031054168662E+01;2.709671127432923E+01;-6.507251175489546E+00;-1.180659719289105E+02;5.811485350005339E+01;7.477154673473003E+00;
2.609000000000000E+09;-5.335254871211498E+00;-1.594098838091912E+01;1.640223565412511E+01;2.587177999079467E+01;1.640223565412511E+01;2.587177999079467E+01;-6.499867994283001E+00;-1.198362648951597E+02;5.828841201875689E+01;6.426206352270406E+00;
2.610000000000000E+09;-5.348062724658864E+00;-1.617983404765901E+01;1.641389653102584E+01;2.460047069909132E+01;1.641389653102584E+01;2.460047069909132E+01;-6.498228426923443E+00;-1.217305273076720E+02;5.837983676716844E+01;5.868037459868741E+00;
2.611000000000000E+09;-5.364664768151856E+00;-1.637463701199988E+01;1.642872394574489E+01;2.338257893786352E+01;1.642872394574489E+01;2.338257893786352E+01;-6.494840047376178E+00;-1.234671128716568E+02;5.848689833231489E+01;6.189184458622894E+00;
2.612000000000000E+09;-5.382898064189195E+00;-1.662190238194492E+01;1.644085318343079E+01;2.214818652995415E+01;1.644085318343079E+01;2.214818652995415E+01;-6.497964126204621E+00;-1.252754640014702E+02;5.843657709825393E+01;4.564119327738045E+00;
2.613000000000000E+09;-5.392654888042648E+00;-1.681916274818030E+01;1.645556654820315E+01;2.091111545537732E+01;1.645556654820315E+01;2.091111545537732E+01;-6.490623093168360E+00;-1.269995593495153E+02;5.838824330582237E+01;6.738445105628023E+00;
2.614000000000000E+09;-5.404418508140418E+00;-1.701423348960308E+01;1.646766614006034E+01;1.971884689519253E+01;1.646766614006034E+01;1.971884689519253E+01;-6.489209474575455E+00;-1.287165286437777E+02;5.836791293616612E+01;4.885590321322804E+00;
2.615000000000000E+09;-5.419009688473927E+00;-1.728953097199029E+01;1.647729267760440E+01;1.848016003585889E+01;1.647729267760440E+01;1.848016003585889E+01;-6.488927375388736E+00;-1.304782427967631E+02;5.838207792703359E+01;5.528019980045624E+00;
2.616000000000000E+09;-5.435609478429964E+00;-1.748087321536770E+01;1.649453927884772E+01;1.721807924828658E+01;1.649453927884772E+01;1.721807924828658E+01;-6.485178904917447E+00;-1.322777652370512E+02;5.827808285296265E+01;4.973157133237661E+00;
2.617000000000000E+09;-5.452265846209000E+00;-1.772994941190530E+01;1.651052800787800E+01;1.601975911370157E+01;1.651052800787800E+01;1.601975911370157E+01;-6.489275768686605E+00;-1.340067038550427E+02;5.822395584610802E+01;6.194416941639433E+00;
2.618000000000000E+09;-5.468962737525055E+00;-1.798800557409766E+01;1.652045333541139E+01;1.478318815229856E+01;1.652045333541139E+01;1.478318815229856E+01;-6.487057032727758E+00;-1.357035969337529E+02;5.853409808743628E+01;5.972478458539980E+00;
2.619000000000000E+09;-5.476520131993708E+00;-1.818374432386287E+01;1.653973633388927E+01;1.356220691137082E+01;1.653973633388927E+01;1.356220691137082E+01;-6.495699193110589E+00;-1.374692355599391E+02;5.813362330632052E+01;6.746862766682487E+00;
2.620000000000000E+09;-5.492410864974725E+00;-1.842588705579369E+01;1.655301321620115E+01;1.232667166693893E+01;1.655301321620115E+01;1.232667166693893E+01;-6.494631943009131E+00;-1.391715827171743E+02;5.837168018343047E+01;5.373445545691092E+00;
2.621000000000000E+09;-5.507244464681534E+00;-1.863940015809279E+01;1.656956587778876E+01;1.109260956614688E+01;1.656956587778876E+01;1.109260956614688E+01;-6.494475016722370E+00;-1.409138542592649E+02;5.859201931001635E+01;5.499849942377249E+00;
2.622000000000000E+09;-5.525076283463459E+00;-1.888409930927958E+01;1.658698185515697E+01;9.895290274374696E+00;1.658698185515697E+01;9.895290274374696E+00;-6.498198653893727E+00;-1.426131955237446E+02;5.834685335759836E+01;5.718174643061732E+00;
2.623000000000000E+09;-5.540048827484712E+00;-1.907917959828368E+01;1.660282169717668E+01;8.654894079530578E+00;1.660282169717668E+01;8.654894079530578E+00;-6.506364059319472E+00;-1.443042746024142E+02;5.815098857216499E+01;4.663685051270913E+00;
2.624000000000000E+09;-5.559690222815928E+00;-1.933941565445307E+01;1.662118873955590E+01;7.432691904396191E+00;1.662118873955590E+01;7.432691904396191E+00;-6.507956607717333E+00;-1.459771241034424E+02;5.799836619276549E+01;6.304058770851965E+00;
