# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;db:Mem6[Trc3]_S21;ang:Mem6[Trc3]_S21;
2.600000000000000E+09;-4.719056484314469E+00;-1.307620264535125E+01;1.569144317658611E+01;3.425143507861175E+01;1.569144317658611E+01;3.425143507861175E+01;-6.027734629356420E+00;-1.054389715436980E+02;5.875381254601205E+01;5.590136416300765E+00;1.630972997441244E+01;3.698412054013914E+01;
2.601000000000000E+09;-4.737365700115563E+00;-1.336043416122213E+01;1.571373222333158E+01;3.331133396496545E+01;1.571373222333158E+01;3.331133396496545E+01;-6.045723507880688E+00;-1.073716007930583E+02;5.829970060370935E+01;6.637685966987369E+00;1.631708243224980E+01;3.573893475432551E+01;
2.602000000000000E+09;-4.754528251571909E+00;-1.359552494650425E+01;1.573492819944332E+01;3.222319020654271E+01;1.573492819944332E+01;3.222319020654271E+01;-6.055797440032872E+00;-1.092767489365463E+02;5.834211516455704E+01;5.470699894186045E+00;1.632935901427543E+01;3.448558743069438E+01;
2.603000000000000E+09;-4.761907475505149E+00;-1.380834662728926E+01;1.574887805461778E+01;3.106169061602272E+01;1.574887805461778E+01;3.106169061602272E+01;-6.059797510769500E+00;-1.111172927894140E+02;5.843676251362464E+01;5.518854381021189E+00;1.633657330198924E+01;3.325659208953503E+01;
2.604000000000000E+09;-4.774036750191850E+00;-1.403083313531149E+01;1.577040055794605E+01;2.986089317077078E+01;1.577040055794605E+01;2.986089317077078E+01;-6.061069393316804E+00;-1.130010256355090E+02;5.828202319974036E+01;5.410608723094036E+00;1.635010593029453E+01;3.200557222194938E+01;
2.605000000000000E+09;-4.790716121480940E+00;-1.425490483424581E+01;1.578565157289282E+01;2.864311733338337E+01;1.578565157289282E+01;2.864311733338337E+01;-6.059302531097309E+00;-1.148885611705313E+02;5.852947654459741E+01;5.218525276507603E+00;1.636083326896010E+01;3.077079092548443E+01;
2.606000000000000E+09;-4.799275489526114E+00;-1.446150816525086E+01;1.579616069524581E+01;2.743589891256550E+01;1.579616069524581E+01;2.743589891256550E+01;-6.067027523642859E+00;-1.167314151137545E+02;5.864221660032482E+01;3.859098787865723E+00;1.636734943563035E+01;2.952872927473528E+01;
2.607000000000000E+09;-4.811752161915959E+00;-1.466779795472402E+01;1.581173915641175E+01;2.621355513332479E+01;1.581173915641175E+01;2.621355513332479E+01;-6.070442084599600E+00;-1.186093521631816E+02;5.856255147473292E+01;5.545083365164797E+00;1.637838845176719E+01;2.832405463445756E+01;
2.608000000000000E+09;-4.828397960321721E+00;-1.482115064438113E+01;1.582868444520305E+01;2.500276258658599E+01;1.582868444520305E+01;2.500276258658599E+01;-6.075038388043161E+00;-1.204189731435232E+02;5.811485350005339E+01;7.477154673473003E+00;1.639050996539434E+01;2.709661346849334E+01;
2.609000000000000E+09;-4.844023955066759E+00;-1.508523864796572E+01;1.584410910824918E+01;2.378184098597711E+01;1.584410910824918E+01;2.378184098597711E+01;-6.071557758880351E+00;-1.222210404036747E+02;5.828841201875689E+01;6.426206352270406E+00;1.640240020665938E+01;2.586286382342897E+01;
2.610000000000000E+09;-4.850083814481546E+00;-1.529951565060386E+01;1.586135767007949E+01;2.253444909191036E+01;1.586135767007949E+01;2.253444909191036E+01;-6.079681451791995E+00;-1.241533886699888E+02;5.837983676716844E+01;5.868037459868741E+00;1.641545044168245E+01;2.460148913144127E+01;
2.611000000000000E+09;-4.864821552728858E+00;-1.548977265472272E+01;1.588040819547620E+01;2.130319677772157E+01;1.588040819547620E+01;2.130319677772157E+01;-6.075777356267459E+00;-1.259286782724613E+02;5.848689833231489E+01;6.189184458622894E+00;1.643023631725844E+01;2.338266068879198E+01;
2.612000000000000E+09;-4.883905458320484E+00;-1.572778467284303E+01;1.589686864830186E+01;2.008938725012576E+01;1.589686864830186E+01;2.008938725012576E+01;-6.084280889371685E+00;-1.277992184720741E+02;5.843657709825393E+01;4.564119327738045E+00;1.644344084280316E+01;2.215871290465423E+01;
2.613000000000000E+09;-4.888764461858996E+00;-1.592299448747048E+01;1.591633455534034E+01;1.887365943684483E+01;1.591633455534034E+01;1.887365943684483E+01;-6.088932855280973E+00;-1.295717822253816E+02;5.838824330582237E+01;6.738445105628023E+00;1.645470388480835E+01;2.093284951122475E+01;
2.614000000000000E+09;-4.906853579657709E+00;-1.610230261726515E+01;1.593146493360097E+01;1.767166630179113E+01;1.593146493360097E+01;1.767166630179113E+01;-6.095971000336863E+00;-1.313912166801302E+02;5.836791293616612E+01;4.885590321322804E+00;1.646923180956782E+01;1.972143673650114E+01;
