# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S22;im:Trc2_S22;re:Trc3_S21;im:Trc3_S21;
2.000000000000000E+09;6.169445651985767E-01;5.752929177403837E-01;5.587969201969705E-01;6.400198389341966E-01;-1.523325725777012E-05;1.238345682993816E-03;
2.001250000000000E+09;6.488525366428400E-01;5.390404876376657E-01;5.940523096478565E-01;6.074240199613918E-01;4.962295107408621E-05;1.285084135862589E-03;
2.002500000000000E+09;6.785825114169302E-01;5.009514479202389E-01;6.270773777618071E-01;5.730050934445686E-01;1.270123235789811E-04;1.260663285021830E-03;
2.003750000000000E+09;7.061892366853295E-01;4.611997739261809E-01;6.585999316493123E-01;5.368077677439027E-01;1.880901805212914E-04;1.263738263021246E-03;
2.005000000000000E+09;7.312940752674492E-01;4.198125669712039E-01;6.876996819920036E-01;4.988043776878175E-01;2.625197458570335E-04;1.253976957531263E-03;
2.006250000000000E+09;7.542060725640614E-01;3.772580641887195E-01;7.149353746864539E-01;4.593297340101962E-01;3.060930606310532E-04;1.264258587370084E-03;
2.007500000000000E+09;7.743372151832455E-01;3.335429242576652E-01;7.397539994699178E-01;4.178674069804864E-01;4.223917038484805E-04;1.272502248355498E-03;
2.008750000000000E+09;7.922776397594906E-01;2.882682544010776E-01;7.622498479224750E-01;3.753692217865409E-01;5.024506221361506E-04;1.251963526259077E-03;
2.010000000000000E+09;8.073668376685410E-01;2.422535211320000E-01;7.823529016999418E-01;3.313238675922798E-01;5.841320208229207E-04;1.268869586727850E-03;
2.011250000000000E+09;8.198160050990948E-01;1.953677925701734E-01;7.996871201630252E-01;2.863934215561457E-01;6.704319527340722E-04;1.232825251919283E-03;
2.012500000000000E+09;8.296637786397991E-01;1.478446098313707E-01;8.149125217884199E-01;2.403645683170136E-01;7.698245083241446E-04;1.212956990369346E-03;
2.013750000000000E+09;8.367401034531922E-01;9.965504186286601E-02;8.269285071325162E-01;1.935875877133832E-01;8.976805894692472E-04;1.169431159800619E-03;
2.015000000000000E+09;8.411514777344322E-01;5.118990987899144E-02;8.366516839926355E-01;1.461054737898144E-01;9.442483683697448E-04;1.130272481482440E-03;
2.016250000000000E+09;8.423509888390525E-01;2.554017512391573E-03;8.434702343644297E-01;9.809059938694267E-02;1.047530397245344E-03;1.062984497390857E-03;
2.017500000000000E+09;8.409974495916183E-01;-4.618760451199111E-02;8.476665055144359E-01;4.942146477969191E-02;1.157369956795438E-03;9.946784768184616E-04;
2.018750000000000E+09;8.370310435006698E-01;-9.484121966656263E-02;8.488643848478153E-01;1.008250189007616E-03;1.225992064005352E-03;9.170823314284515E-04;
2.020000000000000E+09;8.297400132234802E-01;-1.432083309402049E-01;8.471761958375661E-01;-4.789490036352047E-02;1.288430453599618E-03;8.226069722879503E-04;
2.021250000000000E+09;8.200544432538568E-01;-1.906798936184102E-01;8.432284660603313E-01;-9.615739231373306E-02;1.340264237881260E-03;7.245155279216588E-04;
2.022500000000000E+09;8.076037922009577E-01;-2.378423382242247E-01;8.361079260351257E-01;-1.441722010879285E-01;1.404768848700306E-03;6.181487891063926E-04;
2.023750000000000E+09;7.923701497493952E-01;-2.842067837570366E-01;8.261821372945504E-01;-1.919904255561213E-01;1.430442689057455E-03;4.728386877939720E-04;
2.025000000000000E+09;7.744571879807091E-01;-3.296260101232394E-01;8.136938727563600E-01;-2.392559171902294E-01;1.462094280362741E-03;3.829093581487339E-04;
2.026250000000000E+09;7.537579491186884E-01;-3.738617365103943E-01;7.985092477905318E-01;-2.856074097924557E-01;1.472131794595739E-03;2.834277448187229E-04;
2.027500000000000E+09;7.307251185103620E-01;-4.169930434000857E-01;7.804627720764159E-01;-3.312053735260401E-01;1.431017397565942E-03;1.873333867630473E-04;
2.028750000000000E+09;7.051657303778793E-01;-4.587729788367315E-01;7.599246895552028E-01;-3.755064947568506E-01;1.428506926830591E-03;8.381875347779004E-05;
2.030000000000000E+09;6.771313812212014E-01;-4.989794346743226E-01;7.370369014847894E-01;-4.187109356141223E-01;1.403570940866200E-03;-5.285515208692735E-06;
2.031250000000000E+09;6.467276897216711E-01;-5.374830257080566E-01;7.111390297624740E-01;-4.605643728062191E-01;1.384941163267417E-03;-5.904754864894949E-05;
2.032500000000000E+09;6.141566317129654E-01;-5.743736653038778E-01;6.832312259355893E-01;-5.009292069741298E-01;1.411937399186869E-03;-1.495523758238575E-04;
2.033750000000000E+09;5.796838872209271E-01;-6.089063910965166E-01;6.528636474744155E-01;-5.396378211703798E-01;1.383287123041446E-03;-2.441188240361086E-04;
2.035000000000000E+09;5.432330565930193E-01;-6.416425251748739E-01;6.206295337511740E-01;-5.763495546156527E-01;1.337196736888780E-03;-3.147092793832112E-04;
2.036250000000000E+09;5.045848938543553E-01;-6.723813677109031E-01;5.857018412495715E-01;-6.112205482125521E-01;1.320161458644844E-03;-3.937690722980885E-04;
