# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S22;ang:Trc2_S22;db:Trc3_S21;ang:Trc3_S21;
2.000000000000000E+09;-7.799437696898047E-01;8.037675076074750E+01;-1.463583917430632E+00;5.366435768424898E+01;-5.912056349344664E+01;-4.033125878183823E+01;
2.001250000000000E+09;-7.808503097505687E-01;7.811849055215365E+01;-1.461816036471329E+00;5.041880622866928E+01;-5.910129671546711E+01;-4.407548447983781E+01;
2.002500000000000E+09;-7.799617363761833E-01;7.585112139116607E+01;-1.460703262384530E+00;4.718149154329242E+01;-5.887294276180540E+01;-4.617645661998786E+01;
2.003750000000000E+09;-7.810327601975847E-01;7.359639059455195E+01;-1.461332385770153E+00;4.392893438571332E+01;-5.897186522063480E+01;-4.953714521395375E+01;
2.005000000000000E+09;-7.812975565216290E-01;7.132327866404512E+01;-1.460171260962939E+00;4.067352027759176E+01;-5.888632086672893E+01;-5.178940204578326E+01;
2.006250000000000E+09;-7.805394999383065E-01;6.904498530989115E+01;-1.460717853865061E+00;3.742048770966326E+01;-5.883525940388403E+01;-5.486708872442985E+01;
2.007500000000000E+09;-7.810209060148738E-01;6.678769415638220E+01;-1.459646570922283E+00;3.415897103075245E+01;-5.863787323266170E+01;-5.780745855274045E+01;
2.008750000000000E+09;-7.811793297859781E-01;6.451925303117655E+01;-1.459801206664471E+00;3.089597960837553E+01;-5.876401328358764E+01;-6.104831033827382E+01;
2.010000000000000E+09;-7.808147097055960E-01;6.225124943262531E+01;-1.461263972106129E+00;2.762184636698180E+01;-5.863946346079712E+01;-6.355340285733327E+01;
2.011250000000000E+09;-7.811055767734533E-01;5.998417434917642E+01;-1.461169197349306E+00;2.434565284164402E+01;-5.865358501312589E+01;-6.689249853676742E+01;
2.012500000000000E+09;-7.827063923948674E-01;5.771615027370597E+01;-1.463910941882243E+00;2.107918802663941E+01;-5.862378638890198E+01;-7.010674092115434E+01;
2.013750000000000E+09;-7.810765903598953E-01;5.543618866627661E+01;-1.466018765188484E+00;1.778847620188294E+01;-5.872485274501332E+01;-7.308929459095462E+01;
2.015000000000000E+09;-7.820160281148941E-01;5.317370847720839E+01;-1.466399985734341E+00;1.450057925842319E+01;-5.877546317975991E+01;-7.626730720285950E+01;
2.016250000000000E+09;-7.817655226492217E-01;5.089165427602947E+01;-1.469093602083821E+00;1.121477495140496E+01;-5.865959742399653E+01;-7.877481826451897E+01;
2.017500000000000E+09;-7.825775684922931E-01;4.860787213921223E+01;-1.471175391908275E+00;7.919397820786243E+00;-5.870042378106194E+01;-8.266653956324203E+01;
2.018750000000000E+09;-7.831210401325993E-01;4.633061708719953E+01;-1.472880514882908E+00;4.623829885422743E+00;-5.855869806373193E+01;-8.542388750246880E+01;
2.020000000000000E+09;-7.826605744586428E-01;4.405476744275235E+01;-1.473297701117526E+00;1.315743587078874E+00;-5.856724213863792E+01;-8.899212239189951E+01;
2.021250000000000E+09;-7.838972991384701E-01;4.177354860271891E+01;-1.474714056883597E+00;-1.982563326833542E+00;-5.839835375453596E+01;-9.173828743167134E+01;
2.022500000000000E+09;-7.848700066450940E-01;3.949018998663536E+01;-1.475577944134799E+00;-5.283848431115549E+00;-5.856469329330441E+01;-9.397178707539743E+01;
2.023750000000000E+09;-7.837897602392603E-01;3.721158896152666E+01;-1.476783954485498E+00;-8.603051989158908E+00;-5.850293876605180E+01;-9.715356151172423E+01;
2.025000000000000E+09;-7.844057313210434E-01;3.492335523811408E+01;-1.478526204475412E+00;-1.189510038022786E+01;-5.852867172363887E+01;-1.001917207297293E+02;
2.026250000000000E+09;-7.847327000323100E-01;3.263276458323629E+01;-1.481727863143756E+00;-1.521593392773674E+01;-5.829270255718410E+01;-1.012798149418901E+02;
2.027500000000000E+09;-7.848294584255479E-01;3.035065060463172E+01;-1.483634153516960E+00;-1.853487179162008E+01;-5.839185602301211E+01;-1.054565844084209E+02;
2.028750000000000E+09;-7.845661524772736E-01;2.804590172970121E+01;-1.483753490333494E+00;-2.186019790625601E+01;-5.851928946611625E+01;-1.088667271895157E+02;
2.030000000000000E+09;-7.858175743168196E-01;2.575647163225490E+01;-1.485877482751557E+00;-2.519599312612264E+01;-5.836262298753022E+01;-1.118770988595709E+02;
2.031250000000000E+09;-7.860634828285211E-01;2.345169507009221E+01;-1.489583443948955E+00;-2.852464601123242E+01;-5.853612847180023E+01;-1.142002833859699E+02;
