# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;
2.600000000000000E+09;-2.289610321290013E+01;-1.180828146229688E+02;-1.025590180635976E+00;-8.563798981134917E+01;-1.025590180635976E+00;-8.563798981134917E+01;-2.428968113486924E+01;1.463780237348359E+02;5.875381254601205E+01;5.590136416300765E+00;
2.601000000000000E+09;-2.289525249577522E+01;-1.192073007876765E+02;-1.015864211030234E+00;-8.589132740961612E+01;-1.015864211030234E+00;-8.589132740961612E+01;-2.430903270808473E+01;1.456720982212531E+02;5.829970060370935E+01;6.637685966987369E+00;
2.602000000000000E+09;-2.294484516213887E+01;-1.199995650290352E+02;-1.010937263501970E+00;-8.635839140179961E+01;-1.010937263501970E+00;-8.635839140179961E+01;-2.433311308438402E+01;1.447520304143601E+02;5.834211516455704E+01;5.470699894186045E+00;
2.603000000000000E+09;-2.293395395921404E+01;-1.207217883860572E+02;-1.012483770636834E+00;-8.683712761795015E+01;-1.012483770636834E+00;-8.683712761795015E+01;-2.428638925793005E+01;1.445133670172248E+02;5.843676251362464E+01;5.518854381021189E+00;
2.604000000000000E+09;-2.299257111804554E+01;-1.214571237884827E+02;-1.010362855514942E+00;-8.740879043668708E+01;-1.010362855514942E+00;-8.740879043668708E+01;-2.432625277155345E+01;1.438850771161765E+02;5.828202319974036E+01;5.410608723094036E+00;
2.605000000000000E+09;-2.302185401579446E+01;-1.222353906558325E+02;-1.009786935129741E+00;-8.796902767783813E+01;-1.009786935129741E+00;-8.796902767783813E+01;-2.425530633816697E+01;1.432867834799866E+02;5.852947654459741E+01;5.218525276507603E+00;
2.606000000000000E+09;-2.303845812072190E+01;-1.229490240653451E+02;-1.007711116741152E+00;-8.853729029112645E+01;-1.007711116741152E+00;-8.853729029112645E+01;-2.428946809590966E+01;1.433113702564650E+02;5.864221660032482E+01;3.859098787865723E+00;
2.607000000000000E+09;-2.309960860451426E+01;-1.235426899909832E+02;-1.012900085557025E+00;-8.912327053276928E+01;-1.012900085557025E+00;-8.912327053276928E+01;-2.430382503709360E+01;1.421428658117243E+02;5.856255147473292E+01;5.545083365164797E+00;
2.608000000000000E+09;-2.316318624775172E+01;-1.240587857415511E+02;-1.009139029218373E+00;-8.971226915255717E+01;-1.009139029218373E+00;-8.971226915255717E+01;-2.434045891688196E+01;1.419732768384684E+02;5.811485350005339E+01;7.477154673473003E+00;
2.609000000000000E+09;-2.313507260130260E+01;-1.248781122795780E+02;-1.011568323953623E+00;-9.032246534313060E+01;-1.011568323953623E+00;-9.032246534313060E+01;-2.427606351684706E+01;1.417394382330000E+02;5.828841201875689E+01;6.426206352270406E+00;
2.610000000000000E+09;-2.316825284174375E+01;-1.258691796554465E+02;-1.009863618443490E+00;-9.091525683389959E+01;-1.009863618443490E+00;-9.091525683389959E+01;-2.425538380177104E+01;1.414320204933131E+02;5.837983676716844E+01;5.868037459868741E+00;
2.611000000000000E+09;-2.324065827496151E+01;-1.261561246755613E+02;-1.009280535158697E+00;-9.149575206914210E+01;-1.009280535158697E+00;-9.149575206914210E+01;-2.428652714707546E+01;1.408752193972625E+02;5.848689833231489E+01;6.189184458622894E+00;
2.612000000000000E+09;-2.322959600524031E+01;-1.270879796843565E+02;-1.007907044653199E+00;-9.209890104990271E+01;-1.007907044653199E+00;-9.209890104990271E+01;-2.425570541021843E+01;1.400316659078304E+02;5.843657709825393E+01;4.564119327738045E+00;
2.613000000000000E+09;-2.328624999874274E+01;-1.278751542190731E+02;-1.007973105234406E+00;-9.268397508666592E+01;-1.007973105234406E+00;-9.268397508666592E+01;-2.428662041359800E+01;1.393773417064639E+02;5.838824330582237E+01;6.738445105628023E+00;
2.614000000000000E+09;-2.335784672559413E+01;-1.285079900488099E+02;-1.010095132636884E+00;-9.326388309117070E+01;-1.010095132636884E+00;-9.326388309117070E+01;-2.429466152348486E+01;1.391594545088559E+02;5.836791293616612E+01;4.885590321322804E+00;
2.615000000000000E+09;-2.339062938204022E+01;-1.290899047456479E+02;-1.011644109416342E+00;-9.384480214302354E+01;-1.011644109416342E+00;-9.384480214302354E+01;-2.428734179531989E+01;1.388158334193569E+02;5.838207792703359E+01;5.528019980045624E+00;
2.616000000000000E+09;-2.338240741746553E+01;-1.296436375447742E+02;-1.013175998197624E+00;-9.447393434603451E+01;-1.013175998197624E+00;-9.447393434603451E+01;-2.425463189310478E+01;1.383143191172811E+02;5.827808285296265E+01;4.973157133237661E+00;
2.617000000000000E+09;-2.346577279850659E+01;-1.304581901879848E+02;-1.009591857741268E+00;-9.505747125333015E+01;-1.009591857741268E+00;-9.505747125333015E+01;-2.426957762612232E+01;1.378826329199826E+02;5.822395584610802E+01;6.194416941639433E+00;
2.618000000000000E+09;-2.343409460453588E+01;-1.312391616809104E+02;-1.012673808747614E+00;-9.565277565048675E+01;-1.012673808747614E+00;-9.565277565048675E+01;-2.429179654092765E+01;1.372599648445438E+02;5.853409808743628E+01;5.972478458539980E+00;
2.619000000000000E+09;-2.351081716335151E+01;-1.318090824286624E+02;-1.010903695346243E+00;-9.621420411184894E+01;-1.010903695346243E+00;-9.621420411184894E+01;-2.432574150607802E+01;1.367189928788204E+02;5.813362330632052E+01;6.746862766682487E+00;
2.620000000000000E+09;-2.356703541704590E+01;-1.326164288564611E+02;-1.011648704085335E+00;-9.682159834200537E+01;-1.011648704085335E+00;-9.682159834200537E+01;-2.433749016726075E+01;1.365912113022322E+02;5.837168018343047E+01;5.373445545691092E+00;
2.621000000000000E+09;-2.357287100092887E+01;-1.331422138902383E+02;-1.009431327222749E+00;-9.741477111187530E+01;-1.009431327222749E+00;-9.741477111187530E+01;-2.437691150643740E+01;1.358401155569236E+02;5.859201931001635E+01;5.499849942377249E+00;
2.622000000000000E+09;-2.364362590891333E+01;-1.338291287337290E+02;-1.009186776576517E+00;-9.798723158768028E+01;-1.009186776576517E+00;-9.798723158768028E+01;-2.433168398800417E+01;1.356093794826290E+02;5.834685335759836E+01;5.718174643061732E+00;
2.623000000000000E+09;-2.369390062518625E+01;-1.342558998683498E+02;-1.012915237851978E+00;-9.860307793995828E+01;-1.012915237851978E+00;-9.860307793995828E+01;-2.432586399730159E+01;1.347160496983637E+02;5.815098857216499E+01;4.663685051270913E+00;
2.624000000000000E+09;-2.372392585616908E+01;-1.353024777414046E+02;-1.005869305649325E+00;-9.917316918587925E+01;-1.005869305649325E+00;-9.917316918587925E+01;-2.433491651284832E+01;1.345760509710493E+02;5.799836619276549E+01;6.304058770851965E+00;
2.625000000000000E+09;-2.379565385704135E+01;-1.358297498118089E+02;-1.013124731112708E+00;-9.976732375034268E+01;-1.013124731112708E+00;-9.976732375034268E+01;-2.436825165146233E+01;1.340269854550648E+02;5.821253308491895E+01;6.203828628975349E+00;
2.626000000000000E+09;-2.388431129154199E+01;-1.361694802003379E+02;-1.009695809420060E+00;-1.003440746305550E+02;-1.009695809420060E+00;-1.003440746305550E+02;-2.438122080837861E+01;1.339769663267479E+02;5.833397811482696E+01;3.890220828743641E+00;
