# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
2.000000000000000E+09;-1.701551893352095E+00;9.551240497488773E+01;
2.010000000000000E+09;-1.745734618957508E+00;8.400958175871328E+01;
2.020000000000000E+09;-1.783048447243312E+00;7.240037017058856E+01;
2.030000000000000E+09;-1.817359911148308E+00;6.073190787916698E+01;
2.040000000000000E+09;-1.844990217792030E+00;4.900671783472283E+01;
2.050000000000000E+09;-1.861154363669464E+00;3.720781987147387E+01;
2.060000000000000E+09;-1.873260744093620E+00;2.542703043036517E+01;
2.070000000000000E+09;-1.874984976567330E+00;1.361613922403795E+01;
2.080000000000000E+09;-1.867716602572527E+00;1.819868777372877E+00;
2.090000000000000E+09;-1.850630109712977E+00;-9.952508779398586E+00;
2.100000000000000E+09;-1.827299017433641E+00;-2.166403457475756E+01;
2.110000000000000E+09;-1.800261435895024E+00;-3.330754080042117E+01;
2.120000000000000E+09;-1.764786633988903E+00;-4.488291484980212E+01;
2.130000000000000E+09;-1.728561730980329E+00;-5.636903695142755E+01;
2.140000000000000E+09;-1.689414946233400E+00;-6.773336780516237E+01;
2.150000000000000E+09;-1.651811538258775E+00;-7.901478909798988E+01;
2.160000000000000E+09;-1.616512378189973E+00;-9.020972100748450E+01;
2.170000000000000E+09;-1.582667109571273E+00;-1.013072181875538E+02;
2.180000000000000E+09;-1.555393973203279E+00;-1.123358013524740E+02;
2.190000000000000E+09;-1.530534686858276E+00;-1.232716665087714E+02;
2.200000000000000E+09;-1.513497931417854E+00;-1.341922619317509E+02;
2.210000000000000E+09;-1.505246310933796E+00;-1.450447151985535E+02;
2.220000000000000E+09;-1.501950337528112E+00;-1.559275050731819E+02;
2.230000000000000E+09;-1.506732467194164E+00;-1.668071069334640E+02;
2.240000000000000E+09;-1.521907943285488E+00;-1.776980142019568E+02;
2.250000000000000E+09;-1.544902810325685E+00;1.713336529339082E+02;
2.260000000000000E+09;-1.575566099035545E+00;1.603065306707937E+02;
2.270000000000000E+09;-1.615140449953602E+00;1.491507771913888E+02;
2.280000000000000E+09;-1.663440576894069E+00;1.378551724247424E+02;
2.290000000000000E+09;-1.721773236468589E+00;1.263448801856053E+02;
2.300000000000000E+09;-1.793718680855446E+00;1.146343318637246E+02;
2.310000000000000E+09;-1.879521626271522E+00;1.025859182501747E+02;
