meas_frequency_Hz,meas_power_dBm
987500000.0,-129.69088745117188
987525000.0,-130.7845001220703
987550000.0,-130.131103515625
987575000.0,-130.2211151123047
987600000.0,-130.56295776367188
987625000.0,-129.36285400390625
987650000.0,-131.13731384277344
987675000.0,-129.4633331298828
987700000.0,-130.46917724609375
987725000.0,-130.41510009765625
987750000.0,-130.0639190673828
987775000.0,-130.18544006347656
987800000.0,-130.04629516601562
987825000.0,-130.33473205566406
987850000.0,-130.3791046142578
987875000.0,-129.88882446289062
987900000.0,-130.68992614746094
987925000.0,-129.68502807617188
987950000.0,-130.30755615234375
987975000.0,-130.60330200195312
988000000.0,-131.24261474609375
988025000.0,-130.40530395507812
988050000.0,-130.83578491210938
988075000.0,-130.4376983642578
988100000.0,-131.03878784179688
988125000.0,-130.68959045410156
988150000.0,-130.03652954101562
988175000.0,-131.09234619140625
988200000.0,-130.15768432617188
988225000.0,-130.06539916992188
988250000.0,-129.74737548828125
988275000.0,-130.4134979248047
988300000.0,-130.20355224609375
988325000.0,-130.78451538085938
988350000.0,-130.17881774902344
988375000.0,-129.31011962890625
988400000.0,-130.32730102539062
988425000.0,-130.22862243652344
988450000.0,-130.67210388183594
988475000.0,-129.7782440185547
988500000.0,-130.63253784179688
988525000.0,-130.6449432373047
988550000.0,-130.3678741455078
988575000.0,-130.68003845214844
988600000.0,-129.7976531982422
988625000.0,-130.19818115234375
988650000.0,-130.7007293701172
988675000.0,-130.2216796875
988700000.0,-130.45626831054688
988725000.0,-131.07269287109375
988750000.0,-130.17970275878906
988775000.0,-130.7853240966797
988800000.0,-130.64569091796875
988825000.0,-130.45468139648438
988850000.0,-130.4017333984375
988875000.0,-130.22314453125
988900000.0,-130.23861694335938
988925000.0,-130.97384643554688
988950000.0,-130.03469848632812
988975000.0,-130.65853881835938
989000000.0,-130.83421325683594
989025000.0,-130.630615234375
989050000.0,-129.7689971923828
989075000.0,-130.1069793701172
989100000.0,-129.977294921875
989125000.0,-130.90420532226562
989150000.0,-130.5821075439453
989175000.0,-130.61648559570312
989200000.0,-130.8004913330078
989225000.0,-129.87176513671875
989250000.0,-130.90296936035156
989275000.0,-129.80076599121094
989300000.0,-130.8055419921875
989325000.0,-130.93161010742188
989350000.0,-130.45083618164062
989375000.0,-130.09451293945312
989400000.0,-130.0136260986328
989425000.0,-130.1039581298828
989450000.0,-129.86746215820312
989475000.0,-129.97462463378906
989500000.0,-130.83831787109375
989525000.0,-130.35647583007812
989550000.0,-131.02212524414062
989575000.0,-130.35890197753906
989600000.0,-128.22006225585938
989625000.0,-129.8561553955078
989650000.0,-131.00733947753906
989675000.0,-129.8375244140625
989700000.0,-130.77096557617188
989725000.0,-130.6851043701172
989750000.0,-130.15867614746094
989775000.0,-130.28451538085938
989800000.0,-130.63180541992188
989825000.0,-130.00221252441406
989850000.0,-130.0916748046875
989875000.0,-130.8918914794922
989900000.0,-129.31564331054688
989925000.0,-129.29876708984375
989950000.0,-130.75379943847656
989975000.0,-130.41790771484375
990000000.0,-126.37252044677734
990025000.0,-130.65155029296875
990050000.0,-130.5284881591797
990075000.0,-130.5849609375
990100000.0,-130.26649475097656
990125000.0,-129.99246215820312
990150000.0,-130.6756134033203
990175000.0,-130.88021850585938
990200000.0,-130.59893798828125
990225000.0,-131.77586364746094
990250000.0,-129.8495330810547
990275000.0,-130.20492553710938
990300000.0,-129.35879516601562
990325000.0,-129.53904724121094
990350000.0,-130.27268981933594
990375000.0,-130.91873168945312
990400000.0,-130.7388916015625
990425000.0,-130.43914794921875
990450000.0,-131.2701416015625
990475000.0,-131.07740783691406
990500000.0,-129.7822265625
990525000.0,-129.7020721435547
990550000.0,-130.6172332763672
990575000.0,-130.14698791503906
990600000.0,-130.03219604492188
990625000.0,-130.88827514648438
990650000.0,-131.2244873046875
990675000.0,-131.1824493408203
990700000.0,-130.2481689453125
990725000.0,-130.9763641357422
990750000.0,-130.27919006347656
990775000.0,-130.23341369628906
990800000.0,-128.42311096191406
990825000.0,-130.71864318847656
990850000.0,-130.10147094726562
990875000.0,-129.22036743164062
990900000.0,-129.65907287597656
990925000.0,-130.7234344482422
990950000.0,-129.65972900390625
990975000.0,-129.99996948242188
991000000.0,-130.68630981445312
991025000.0,-130.365478515625
991050000.0,-130.02490234375
991075000.0,-130.95945739746094
991100000.0,-131.24176025390625
991125000.0,-130.46958923339844
991150000.0,-129.75454711914062
991175000.0,-129.49899291992188
991200000.0,-129.98606872558594
991225000.0,-130.26980590820312
991250000.0,-129.9232635498047
